
2024/08/21 (18:56:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/21 (18:56:43) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/21 (18:58:23) | ===> btop++ v.1.3.2
2024/08/21 (18:58:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/21 (18:58:23) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/21 (19:02:51) | ===> btop++ v.1.3.2
2024/08/21 (19:02:51) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/21 (19:02:51) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/21 (22:15:30) | ===> btop++ v.1.3.2
2024/08/21 (22:15:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/21 (22:15:30) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/24 (13:58:18) | ===> btop++ v.1.3.2
2024/08/24 (13:58:18) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/24 (13:58:18) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/24 (20:40:59) | ===> btop++ v.1.3.2
2024/08/24 (20:40:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/24 (20:40:59) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/28 (17:57:15) | ===> btop++ v.1.3.2
2024/08/28 (17:57:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/28 (17:57:15) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/28 (18:08:40) | ===> btop++ v.1.3.2
2024/08/28 (18:08:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/28 (18:08:40) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/29 (14:30:55) | ===> btop++ v.1.3.2
2024/08/29 (14:30:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/29 (14:30:55) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/29 (14:31:23) | ===> btop++ v.1.3.2
2024/08/29 (14:31:23) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/29 (14:31:23) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/08/31 (13:28:50) | ===> btop++ v.1.3.2
2024/08/31 (13:28:50) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/08/31 (13:28:50) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/09/13 (21:13:13) | ===> btop++ v.1.3.2
2024/09/13 (21:13:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/09/13 (21:13:13) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/10/01 (22:37:16) | ===> btop++ v.1.4.0
2024/10/01 (22:37:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/01 (22:37:16) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/10/02 (16:43:53) | ===> btop++ v.1.4.0
2024/10/02 (16:43:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/02 (16:43:53) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/10/02 (16:44:03) | ===> btop++ v.1.4.0
2024/10/02 (16:44:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/02 (16:44:03) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/10/04 (22:16:08) | ===> btop++ v.1.4.0
2024/10/04 (22:16:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/04 (22:16:08) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/10/07 (22:07:06) | ===> btop++ v.1.4.0
2024/10/07 (22:07:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/07 (22:07:06) | WARNING: ROCm SMI: Failed to get GPU power usage

2024/10/08 (22:24:52) | ===> btop++ v.1.4.0
2024/10/08 (22:24:52) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
